"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","pitch_count","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","batted_ball","f_strike_percent","n"
"Civale, Aaron",650644,2024,689,21.6,7.5,".327",".309",36.5,7.3,39.4,"79.152007238","94.002413711",64.4,13.3,27.6,40.1,59.9,52.2,2699,86.7,47.8,21.9,45.2,482,63.7,"2699"
"King, Michael",650633,2024,726,27.7,8.7,".284",".293",35.2,6.2,30.3,"73.981359732","92.671656987",60.8,20.9,30.5,45.6,54.4,51,2895,79.1,49,29.3,45.4,455,66.1,"2895"
"Cortes, Nestor",641482,2024,710,22.8,5.5,".307",".295",35,7.9,43.6,"79.122676225","94.470879177",72.9,20.1,27.4,35.5,64.5,49.4,2849,79.9,50.6,24.2,50.4,505,58.9,"2849"
"Skubal, Tarik",669373,2024,753,30.3,4.6,".246",".257",33.1,6.7,33.9,"76.236530506","93.34039981",68.3,25,31.1,50.8,49.2,44.7,2866,75,55.3,31.9,51.8,481,68.7,"2838"
"Pivetta, Nick",601713,2024,595,28.9,6.1,".306",".291",38.9,10.1,38.9,"79.225758698","93.96201671",69,15.4,30,50.9,49.1,48,2387,84.6,52,25.6,50.3,386,68.4,"2386"
"Ryan, Joe",657746,2024,538,27.3,4.3,".282",".264",33.6,8.5,36.6,"77.148522833","93.914347298",68,21.4,30.1,40.7,59.3,45,2106,78.6,55,26.6,50.9,363,70.4,"2106"
"Bibee, Tanner",676440,2024,710,26.3,6.2,".299",".300",37.4,7,36.9,"77.504108675","93.719329103",72.7,22.3,26.8,40.7,59.3,47.2,2851,77.7,52.8,26.9,51,471,65.8,"2851"
"Nelson, Ryne",669194,2024,630,20,5.4,".322",".314",34.5,7.5,41.6,"79.83287319","94.487586272",71.1,14.4,29.3,29,71,46,2406,85.6,54,18.2,51.8,464,67.3,"2406"
"Irvin, Jake",663623,2024,769,20.3,6.8,".314",".320",33,9.2,39.1,"77.537675273","94.341422273",67.1,15.6,26.8,41.9,58.1,46.3,3046,84.4,53.7,22.3,48.5,557,61.5,"3046"
"Gil, Luis",661563,2024,637,26.8,12.1,".288",".302",33.7,9.5,37.4,"78.931048895","94.034939077",67.7,21.6,25.5,46.5,53.5,52.8,2664,78.4,47.2,29,45.5,380,54.8,"2664"
"Taillon, Jameson",592791,2024,675,18.5,4.9,".289",".310",32.2,7.2,38.8,"79.650003386","94.067909961",65.6,12.1,27.8,39.9,60.1,46,2483,87.9,54,19.5,48.2,515,65.6,"2483"
"Crawford, Kutter",676710,2024,759,23.1,6.7,".304",".304",33.4,9.9,36.3,"77.710617066","93.646279363",69.4,17.2,32.8,44.3,55.7,47.5,2823,82.8,52.5,25.3,52,524,63.6,"2823"
"Mikolas, Miles",571945,2024,720,16.9,3.5,".339",".331",38.1,8.1,42.3,"77.511449435","94.25374515",66.5,12.5,27.9,28.7,71.3,43.3,2705,87.5,56.7,16.4,49.8,567,72.4,"2703"
"Gray, Sonny",543243,2024,671,30.3,5.8,".292",".296",38.1,8.9,37.9,"79.276406538","94.211961253",65.9,17.7,30.7,56.7,43.3,49,2483,82.3,51,29.8,48.7,425,63.6,"2483"
"Littell, Zack",641793,2024,656,21.5,4.7,".317",".321",36.2,9.6,39.2,"78.590295546","94.137344568",70.6,14.5,31.1,44.7,55.3,47.4,2486,85.5,52.6,23.1,51.9,478,66.3,"2485"
"Cannon, Jonathan",686563,2024,522,17.4,7.7,".332",".323",38.3,7.3,36.3,"78.719188912","93.823911325",67.2,14.9,28.6,36.6,63.4,52.2,2028,85.1,47.8,21.8,47.1,386,59.8,"2028"
"Eovaldi, Nathan",543135,2024,696,23.9,6,".291",".306",33.5,7.7,42.6,"77.906442017","94.485768718",70.3,19.4,32.2,44.5,55.5,47.6,2622,80.6,52.4,26.8,52.2,481,65.7,"2622"
"Kikuchi, Yusei",579328,2024,736,28,6,".297",".298",33.5,9.7,45,"79.146503958","94.844128643",67.8,21.2,27.9,49.2,50.8,48.5,2923,78.8,51.5,29,48.4,484,65.4,"2923"
"Lorenzen, Michael",547179,2024,535,18.1,11,".303",".329",32.2,8,39.4,"76.902993817","94.185249946",67.7,16.8,23.9,38.2,61.8,52.4,2092,83.2,47.6,22.8,44.7,373,61.1,"2092"
"Gibson, Kyle",502043,2024,722,20.9,9.4,".323",".338",34.3,9.2,39.1,"76.558654534","94.071640304",64,14.6,26.3,47.5,52.5,55.9,2764,85.4,44.1,25.9,42.9,499,57.6,"2764"
"Steele, Justin",657006,2024,555,24.3,6.7,".271",".258",30.9,4.2,33.2,"75.731326576","93.083319918",68.2,17.3,29.2,43.9,56.1,42.7,2046,82.7,57.3,23.7,51.5,379,68.1,"2046"
"Pallante, Andre",669467,2024,509,18.5,9.4,".293",".289",24.4,3.3,38.1,"75.339766989","93.795724801",67.7,11.6,24.9,42.6,57.4,50.1,1978,88.4,49.9,19.8,46.4,365,60.1,"1934"
"Martinez, Nick",607259,2024,570,20.4,3.2,".279",".277",34,5.1,30.5,"74.850496934","92.978959505",67.4,16.2,33.9,37.7,62.3,48.6,2125,83.8,51.4,23.1,51.1,430,67.7,"2125"
"Estes, Joey",683155,2024,543,16.9,5,".333",".323",37.2,9.7,39.6,"79.114875902","94.154264829",75.6,15.1,29.8,32.5,67.5,43.9,2027,84.9,56.1,19.2,55.5,414,66.4,"2027"
"Wacha, Michael",608379,2024,685,21.2,6.6,".300",".310",32.7,8.2,32.5,"75.614261583","93.109005646",68.5,17.3,27.8,38.5,61.5,49.2,2602,82.7,50.8,23.3,48.5,489,64.4,"2602"
"Skenes, Paul",694973,2024,514,33.1,6.2,".247",".247",27.8,5.2,36.3,"76.618528618","93.629853102",68.5,20.8,30.9,46.5,53.5,49.6,2125,79.2,50.4,28.7,49.8,306,61.9,"2125"
"Peterson, David",656849,2024,510,19.8,9,".299",".329",35.7,7.3,42.7,"78.331204972","94.426613853",68,16.7,28.8,45.3,54.7,51.5,1871,83.3,48.5,25.6,47.8,356,63.5,"1871"
"Suárez, Albert",544150,2024,565,19.1,7.6,".320",".311",38,7.1,38.4,"78.437722921","93.664169109",76.1,19.2,28,37.4,62.6,53.4,2234,80.8,46.6,24.6,50.4,411,58.9,"2233"
"López, Pablo",641154,2024,772,25.6,5.3,".306",".297",35.9,8.2,37.5,"76.717040308","93.587928673",70.7,19.2,33,43.7,56.3,50,2986,80.8,50,27,51.8,523,67.5,"2986"
"Suárez, Ranger",624133,2024,626,23.2,6.5,".297",".297",32.9,5.1,34.3,"74.743507217","93.618829764",66.2,12.9,30.3,39.5,60.5,52.8,2354,87.1,47.2,21.9,47.3,434,64.5,"2354"
"Harrison, Kyle",690986,2024,532,22.2,7.9,".330",".338",34.2,10.1,44.1,"80.405098066","94.933663315",65.8,17.5,25.6,39.8,60.2,49,2078,82.5,51,23.6,46.2,365,57.1,"2078"
"Flexen, Chris",623167,2024,707,17.4,8.9,".355",".334",37,8.1,37.4,"77.948608016","93.935523035",68.6,15.6,27.7,37.2,62.8,55.1,2797,84.4,44.9,22.7,46,519,58.7,"2797"
